Borough Name,Job Type,BIN Number,Date,Estimated Job Cost,Latitude Point,Longitude Point,House Number,Street Name
Queens,A2,4107760,10/31/2016,2644000,40.78073883,-73.80235291,19-29,FRANCIS LEWIS BOULEVARD
Manhattan,A3,1009131,11/1/2016,10800,40.73336029,-73.99205017,40,EAST 12 STREET
Brooklyn,A3,3154995,11/1/2016,24800,40.61959076,-74.03781891,28,MARINE AVENUE
Bronx,A2,2118990,11/1/2016,30000,40.82040024,-73.89952087,860,HEWITT PLACE
Brooklyn,A2,3024923,11/1/2016,39591,40.67193985,-73.97463226,136,8 AVENUE
Bronx,A2,2084204,11/1/2016,114000,40.8870697,-73.90998077,3601,JOHNSON AVENUE
Manhattan,A2,1076123,11/1/2016,139200,40.74501038,-74.00488281,445,WEST   19 STREET
Brooklyn,A2,3057846,11/1/2016,225000,40.68078995,-73.9597168,106,LEFFERTS PLACE
Manhattan,A2,1009725,11/1/2016,675000,40.72491074,-74.00675201,36,DOMINICK STREET
Brooklyn,A1,3043524,11/1/2016,735000,40.69118881,-73.93785858,868,LAFAYETTE AVENUE
Manhattan,A2,1051514,11/1/2016,2000000,40.79428864,-73.95001984,1580,MADISON AVENUE
Manhattan,A2,1015061,11/2/2016,668100,40.7467804,-73.99315643,158,WEST   28 STREET
Brooklyn,A2,3016822,11/2/2016,728000,40.66020966,-73.98594666,400,  17 STREET
Manhattan,A2,1080813,11/2/2016,1650000,40.81412888,-73.96130371,524,RIVERSIDE DRIVE
Brooklyn,A2,3064818,11/3/2016,15000,40.7297287,-73.95659637,106,GREENPOINT AVENUE
Manhattan,A2,1084956,11/3/2016,21380,40.73839188,-74.00092316,215,WEST   13 STREET
Manhattan,A2,1011116,11/3/2016,21915,40.73839188,-74.00092316,213,WEST 13 STREET
Manhattan,A2,1015685,11/3/2016,48000,40.74451828,-73.9882431,13,WEST 27 STREET
Manhattan,A2,1041498,11/3/2016,80000,40.77254105,-73.96447754,917,MADISON AVENUE
Queens,A2,4056054,11/3/2016,80000,40.73960114,-73.89781189,66-28,LAUREL HILL BOULEVARD
Manhattan,A2,1059309,11/3/2016,110000,40.81113052,-73.95274353,351,WEST  125 STREET
Manhattan,A2,1029892,11/3/2016,300000,40.77745819,-73.97962952,118,WEST 72 STREET
Brooklyn,A1,3046320,11/3/2016,2312640,40.68503952,-73.92343903,144,RALPH AVENUE
Brooklyn,A2,3127950,11/4/2016,36000,40.63153839,-73.97058105,229,PARKVILLE AVENUE
Manhattan,A2,1031978,11/4/2016,200000,40.78311157,-73.97503662,428,COLUMBUS AVENUE
Brooklyn,A1,3012392,11/4/2016,558150,40.64471054,-74.00618744,621,48 STREET
Brooklyn,A2,3067646,11/4/2016,588150,40.72243118,-73.94426727,57,RUSSELL STREET
Brooklyn,A2,3000784,11/4/2016,600000,40.6853981,-73.97940826,538,STATE STREET
Brooklyn,A1,3140578,11/5/2016,420870,40.63447189,-74.00524902,938,  58 STREET
Manhattan,A2,1062437,11/7/2016,12000,40.82870102,-73.94928741,3603,BROADWAY
Manhattan,A2,1062438,11/7/2016,12000,40.82878113,-73.94922638,3605,BROADWAY
Manhattan,A2,1083373,11/7/2016,152800,40.71105957,-74.01703644,355,SOUTH END AVENUE
Brooklyn,A2,3059160,11/7/2016,514000,40.68725967,-73.97940063,55,FLATBUSH AVENUE
Queens,A1,4120390,11/7/2016,650572,40.76131058,-73.80639648,41-23, 159 STREET
Manhattan,A1,1030266,11/7/2016,1051000,40.78253937,-73.9780426,168,WEST 79 STREET
Queens,A1,4578734,11/7/2016,1395000,40.68008041,-73.7772522,120-77, 166 STREET
Bronx,A2,2005884,11/7/2016,1850000,40.82004929,-73.89190674,932,SOUTHERN BOULEVARD
Queens,A2,4008255,11/9/2016,16000,40.76052094,-73.92619324,32-55,31 STREET
Manhattan,A2,1006071,11/9/2016,22000,40.72380829,-73.99028778,37,EAST 1 STREET
Brooklyn,A2,3064692,11/9/2016,25000,40.73049927,-73.95649719,112,KENT STREET
Brooklyn,A2,3136704,11/9/2016,54000,40.63711929,-73.99033356,4516,13 AVENUE
Manhattan,A2,1083082,11/9/2016,80000,40.72462082,-73.99606323,294,LAFAYETTE STREET
Brooklyn,A2,3066806,11/9/2016,442500,40.72296143,-73.94898987,522,LEONARD STREET
Manhattan,A2,1047535,11/10/2016,7000,40.77595901,-73.95778656,140,EAST 81 STREET
Brooklyn,A3,3211531,11/10/2016,8400,40.61582947,-73.94223785,1528,EAST   33 STREET
Manhattan,A2,1004992,11/10/2016,35528,40.72330093,-73.98314667,234,EAST 4 STREET
Queens,A2,4035981,11/10/2016,102000,40.75191116,-73.87647247,35-24,91 STREET
Manhattan,A2,1007850,11/10/2016,109920,40.72325134,-73.99368286,240,ELIZABETH STREET
Manhattan,A2,1032653,11/10/2016,116000,40.78458023,-73.97902679,225,WEST   80 STREET
Queens,A3,4436456,11/10/2016,200000,40.59626007,-73.78648376,54-09,ALMEDA AVENUE
Queens,A2,4444184,11/10/2016,202800,40.75685883,-73.76407623,47-34, 217 STREET
Queens,A2,4444177,11/10/2016,220000,40.75685883,-73.76407623,216-10,  47 AVENUE
Brooklyn,A2,3059506,11/10/2016,1010266,40.71030045,-73.96629333,54,BROADWAY
Brooklyn,A2,3074431,11/12/2016,18000,40.69855118,-73.92228699,1363,MYRTLE AVENUE
Queens,A2,4268923,11/14/2016,10000,40.69141006,-73.76307678,188-28,LINDEN BOULEVARD
Manhattan,A2,1015157,11/14/2016,27000,40.74845123,-73.99181366,151,WEST 30 STREET
Brooklyn,A2,3063022,11/14/2016,57100,40.71133041,-73.95622253,285,SOUTH    2 STREET
Manhattan,A2,1015506,11/14/2016,100000,40.74081039,-73.99237061,30,WEST 21 STREET
Manhattan,A2,1007627,11/14/2016,105000,40.72439957,-73.99909973,127,MERCER STREET
Manhattan,A2,1080609,11/14/2016,202000,40.75220871,-73.9868927,1372,BROADWAY
Brooklyn,A1,3050846,11/14/2016,1255960,40.68629837,-73.95182037,385,GATES AVENUE
Brooklyn,A1,3050848,11/14/2016,1255960,40.68629074,-73.9519577,381,GATES AVENUE
Queens,A2,4284047,11/14/2016,1386000,40.67387009,-73.72884369,244-02,MERRICK BOULEVARD
Bronx,A2,2014133,11/14/2016,1464000,40.8669014,-73.89729309,2630,JEROME AVENUE
Brooklyn,A2,3017404,11/14/2016,1715300,40.66032028,-73.99125671,682A,   6 AVENUE
Queens,A1,4123846,11/15/2016,478500,40.75234985,-73.80657196,46-53,160 STREET
Manhattan,A2,1004742,11/15/2016,1612380,40.72565079,-73.9793396,624,EAST    9 STREET
Manhattan,A2,1008256,11/16/2016,80000,40.72777176,-74.00086975,116,WEST HOUSTON STREET
Queens,A1,4207889,11/16/2016,250000,40.71340942,-73.81513977,83-78,DANIELS STREET
Brooklyn,A2,3388697,11/16/2016,276600,40.66505814,-73.95809937,77,SULLIVAN PLACE
Manhattan,A2,1015707,11/16/2016,424900,40.74559021,-73.99002838,44,WEST 28 STREET
Manhattan,A1,1082321,11/16/2016,1800000,40.79441833,-73.94300079,2004,   3 AVENUE
Bronx,A2,2014152,11/16/2016,1983000,40.85437012,-73.90727234,2065,JEROME AVENUE
Queens,A2,4098833,11/16/2016,3885000,40.78279114,-73.84559631,18-11,COLLEGE POINT BOULEVARD
Manhattan,A2,1009599,11/17/2016,37975,40.73516846,-73.99714661,55,WEST 11 STREET
Manhattan,A2,1064451,11/17/2016,50000,40.85670853,-73.93556213,662,FT WASHINGTON AVENUE
Manhattan,A2,1016197,11/18/2016,30250,40.73976135,-73.99038696,139,5 AVENUE
Manhattan,A2,1014417,11/18/2016,85000,40.75234985,-73.99236298,254,WEST 35 STREET
Brooklyn,A1,3006007,11/18/2016,1200000,40.68228912,-73.98053741,51,ST MARKS PLACE
Brooklyn,A2,3196299,11/18/2016,3714275,40.58238983,-73.96636963,2727,OCEAN PARKWAY
Brooklyn,A1,3049863,11/19/2016,1049274,40.68914032,-73.95474243,1019,BEDFORD AVENUE
Manhattan,A2,1083160,11/21/2016,10000,40.73159027,-74.009552,121,MORTON STREET
Bronx,A2,2015444,11/21/2016,1708066,40.87744904,-73.88889313,3400,PAUL AVENUE
Brooklyn,A2,3006453,11/22/2016,70000,40.68289185,-73.98719788,452,BALTIC STREET
Manhattan,A2,1015372,11/22/2016,100000,40.73868942,-73.99533844,55,WEST 16 STREET
Manhattan,A2,1015396,11/23/2016,40210,40.73812103,-73.99326324,12,WEST 17 STREET
Brooklyn,A1,3008016,11/23/2016,49750,40.67823029,-73.99759674,435,COURT STREET
Brooklyn,A2,3178930,11/23/2016,50000,40.63119888,-73.96470642,736,ARGYLE ROAD
Manhattan,A2,1039662,11/23/2016,73000,40.75526047,-73.96613312,336,EAST 52 STREET
Manhattan,A2,1016748,11/23/2016,168000,40.74209976,-73.98558807,354,PARK AVENUE SOUTH
Brooklyn,A1,3096376,11/23/2016,360000,40.66046143,-73.89386749,663,GEORGIA AVENUE
Brooklyn,A2,3023085,11/23/2016,530000,40.66904068,-73.99265289,529,   3 AVENUE
Manhattan,A2,1007942,11/23/2016,550000,40.72423935,-73.99720001,568,BROADWAY
Queens,A2,4171723,11/23/2016,1340000,40.75955963,-73.73285675,245-02,HORACE HARDING EXPRESSWAY
Manhattan,A2,1087768,11/23/2016,2550000,40.80276108,-73.94445038,1481,   5 AVENUE
Manhattan,A2,1032151,11/28/2016,1863130,40.78659058,-73.97396851,131,WEST 85 STREET
Manhattan,A2,1029650,11/29/2016,59000,40.77624893,-73.98069,118,WEST 70 STREET
Brooklyn,A2,3048334,11/29/2016,130900,40.70014954,-73.94480896,698,FLUSHING AVENUE
Queens,A1,4177642,11/29/2016,675000,40.74547958,-73.70910645,79-57,262 STREET
Bronx,A2,2057725,11/29/2016,1815486,40.87720108,-73.86228943,3511,BARNES AVENUE
Manhattan,A2,1001021,11/29/2016,19340700,40.7077713,-74.00911713,16,LIBERTY STREET
