,Borough Name,Job Type,BIN Number,Date,Estimated Job Cost,Latitude Point,Longitude Point,Address,Date2
143,Manhattan,A2,1062438,2016-11-07,12000,40.82878113,-73.94922638,3605 Broadway Manhattan,2016-11
144,Manhattan,A2,1083373,2016-11-07,152800,40.71105957,-74.01703644,355 South End Avenue Manhattan,2016-11
145,Brooklyn,A2,3059160,2016-11-07,514000,40.68725967,-73.97940063,55 Flatbush Avenue Brooklyn,2016-11
146,Queens,A1,4120390,2016-11-07,650572,40.76131058,-73.80639648,41-23 159 Street Queens,2016-11
147,Manhattan,A1,1030266,2016-11-07,1051000,40.78253937,-73.9780426,168 West 79 Street Manhattan,2016-11
148,Queens,A1,4578734,2016-11-07,1395000,40.68008041,-73.7772522,120-77 166 Street Queens,2016-11
149,Bronx,A2,2005884,2016-11-07,1850000,40.82004929,-73.89190674,932 Southern Boulevard Bronx,2016-11
150,Queens,A2,4008255,2016-11-09,16000,40.76052094,-73.92619324,32-55 31 Street Queens,2016-11
151,Manhattan,A2,1006071,2016-11-09,22000,40.72380829,-73.99028778,37 East 1 Street Manhattan,2016-11
152,Brooklyn,A2,3064692,2016-11-09,25000,40.73049927,-73.95649719,112 Kent Street Brooklyn,2016-11
153,Brooklyn,A2,3136704,2016-11-09,54000,40.63711929,-73.99033356,4516 13 Avenue Brooklyn,2016-11
154,Manhattan,A2,1083082,2016-11-09,80000,40.72462082,-73.99606323,294 Lafayette Street Manhattan,2016-11
155,Brooklyn,A2,3066806,2016-11-09,442500,40.72296143,-73.94898987,522 Leonard Street Brooklyn,2016-11
156,Manhattan,A2,1047535,2016-11-10,7000,40.77595901,-73.95778656,140 East 81 Street Manhattan,2016-11
157,Brooklyn,A3,3211531,2016-11-10,8400,40.61582947,-73.94223785,1528 East   33 Street Brooklyn,2016-11
158,Manhattan,A2,1004992,2016-11-10,35528,40.72330093,-73.98314667,234 East 4 Street Manhattan,2016-11
159,Queens,A2,4035981,2016-11-10,102000,40.75191116,-73.87647247,35-24 91 Street Queens,2016-11
160,Manhattan,A2,1007850,2016-11-10,109920,40.72325134,-73.99368286,240 Elizabeth Street Manhattan,2016-11
161,Manhattan,A2,1032653,2016-11-10,116000,40.78458023,-73.97902679,225 West   80 Street Manhattan,2016-11
162,Queens,A3,4436456,2016-11-10,200000,40.59626007,-73.78648376,54-09 Almeda Avenue Queens,2016-11
163,Queens,A2,4444184,2016-11-10,202800,40.75685883,-73.76407623,47-34 217 Street Queens,2016-11
164,Queens,A2,4444177,2016-11-10,220000,40.75685883,-73.76407623,216-10 47 Avenue Queens,2016-11
165,Brooklyn,A2,3059506,2016-11-10,1010266,40.71030045,-73.96629333,54 Broadway Brooklyn,2016-11
166,Brooklyn,A2,3074431,2016-11-12,18000,40.69855118,-73.92228699,1363 Myrtle Avenue Brooklyn,2016-11
167,Queens,A2,4268923,2016-11-14,10000,40.69141006,-73.76307678,188-28 Linden Boulevard Queens,2016-11
168,Manhattan,A2,1015157,2016-11-14,27000,40.74845123,-73.99181366,151 West 30 Street Manhattan,2016-11
169,Brooklyn,A2,3063022,2016-11-14,57100,40.71133041,-73.95622253,285 South    2 Street Brooklyn,2016-11
170,Manhattan,A2,1015506,2016-11-14,100000,40.74081039,-73.99237061,30 West 21 Street Manhattan,2016-11
171,Manhattan,A2,1007627,2016-11-14,105000,40.72439957,-73.99909973,127 Mercer Street Manhattan,2016-11
172,Manhattan,A2,1080609,2016-11-14,202000,40.75220871,-73.9868927,1372 Broadway Manhattan,2016-11
173,Brooklyn,A1,3050846,2016-11-14,1255960,40.68629837,-73.95182037,385 Gates Avenue Brooklyn,2016-11
174,Brooklyn,A1,3050848,2016-11-14,1255960,40.68629074,-73.9519577,381 Gates Avenue Brooklyn,2016-11
175,Queens,A2,4284047,2016-11-14,1386000,40.67387009,-73.72884369,244-02 Merrick Boulevard Queens,2016-11
176,Bronx,A2,2014133,2016-11-14,1464000,40.8669014,-73.89729309,2630 Jerome Avenue Bronx,2016-11
177,Brooklyn,A2,3017404,2016-11-14,1715300,40.66032028,-73.99125671,682A 6 Avenue Brooklyn,2016-11
178,Queens,A1,4123846,2016-11-15,478500,40.75234985,-73.80657196,46-53 160 Street Queens,2016-11
179,Manhattan,A2,1004742,2016-11-15,1612380,40.72565079,-73.9793396,624 East    9 Street Manhattan,2016-11
180,Manhattan,A2,1008256,2016-11-16,80000,40.72777176,-74.00086975,116 West Houston Street Manhattan,2016-11
181,Queens,A1,4207889,2016-11-16,250000,40.71340942,-73.81513977,83-78 Daniels Street Queens,2016-11
182,Brooklyn,A2,3388697,2016-11-16,276600,40.66505814,-73.95809937,77 Sullivan Place Brooklyn,2016-11
183,Manhattan,A2,1015707,2016-11-16,424900,40.74559021,-73.99002838,44 West 28 Street Manhattan,2016-11
184,Manhattan,A1,1082321,2016-11-16,1800000,40.79441833,-73.94300079,2004 3 Avenue Manhattan,2016-11
185,Bronx,A2,2014152,2016-11-16,1983000,40.85437012,-73.90727234,2065 Jerome Avenue Bronx,2016-11
186,Queens,A2,4098833,2016-11-16,3885000,40.78279114,-73.84559631,18-11 College Point Boulevard Queens,2016-11
187,Manhattan,A2,1009599,2016-11-17,37975,40.73516846,-73.99714661,55 West 11 Street Manhattan,2016-11
188,Manhattan,A2,1064451,2016-11-17,50000,40.85670853,-73.93556213,662 Ft Washington Avenue Manhattan,2016-11
189,Manhattan,A2,1016197,2016-11-18,30250,40.73976135,-73.99038696,139 5 Avenue Manhattan,2016-11
190,Manhattan,A2,1014417,2016-11-18,85000,40.75234985,-73.99236298,254 West 35 Street Manhattan,2016-11
191,Brooklyn,A1,3006007,2016-11-18,1200000,40.68228912,-73.98053741,51 St Marks Place Brooklyn,2016-11
192,Brooklyn,A2,3196299,2016-11-18,3714275,40.58238983,-73.96636963,2727 Ocean Parkway Brooklyn,2016-11
193,Brooklyn,A1,3049863,2016-11-19,1049274,40.68914032,-73.95474243,1019 Bedford Avenue Brooklyn,2016-11
194,Manhattan,A2,1083160,2016-11-21,10000,40.73159027,-74.009552,121 Morton Street Manhattan,2016-11
195,Bronx,A2,2015444,2016-11-21,1708066,40.87744904,-73.88889313,3400 Paul Avenue Bronx,2016-11
196,Brooklyn,A2,3006453,2016-11-22,70000,40.68289185,-73.98719788,452 Baltic Street Brooklyn,2016-11
197,Manhattan,A2,1015372,2016-11-22,100000,40.73868942,-73.99533844,55 West 16 Street Manhattan,2016-11
198,Manhattan,A2,1015396,2016-11-23,40210,40.73812103,-73.99326324,12 West 17 Street Manhattan,2016-11
199,Brooklyn,A1,3008016,2016-11-23,49750,40.67823029,-73.99759674,435 Court Street Brooklyn,2016-11
200,Brooklyn,A2,3178930,2016-11-23,50000,40.63119888,-73.96470642,736 Argyle Road Brooklyn,2016-11
201,Manhattan,A2,1039662,2016-11-23,73000,40.75526047,-73.96613312,336 East 52 Street Manhattan,2016-11
202,Manhattan,A2,1016748,2016-11-23,168000,40.74209976,-73.98558807,354 Park Avenue South Manhattan,2016-11
203,Brooklyn,A1,3096376,2016-11-23,360000,40.66046143,-73.89386749,663 Georgia Avenue Brooklyn,2016-11
204,Brooklyn,A2,3023085,2016-11-23,530000,40.66904068,-73.99265289,529 3 Avenue Brooklyn,2016-11
205,Manhattan,A2,1007942,2016-11-23,550000,40.72423935,-73.99720001,568 Broadway Manhattan,2016-11
206,Queens,A2,4171723,2016-11-23,1340000,40.75955963,-73.73285675,245-02 Horace Harding Expressway Queens,2016-11
207,Manhattan,A2,1087768,2016-11-23,2550000,40.80276108,-73.94445038,1481 5 Avenue Manhattan,2016-11
208,Manhattan,A2,1032151,2016-11-28,1863130,40.78659058,-73.97396851,131 West 85 Street Manhattan,2016-11
209,Manhattan,A2,1029650,2016-11-29,59000,40.77624893,-73.98069,118 West 70 Street Manhattan,2016-11
210,Brooklyn,A2,3048334,2016-11-29,130900,40.70014954,-73.94480896,698 Flushing Avenue Brooklyn,2016-11
211,Queens,A1,4177642,2016-11-29,675000,40.74547958,-73.70910645,79-57 262 Street Queens,2016-11
212,Bronx,A2,2057725,2016-11-29,1815486,40.87720108,-73.86228943,3511 Barnes Avenue Bronx,2016-11
213,Manhattan,A2,1001021,2016-11-29,19340700,40.7077713,-74.00911713,16 Liberty Street Manhattan,2016-11
214,Queens,A2,4099527,2016-11-30,16000,40.77882004,-73.845047,123-01 23 Avenue Queens,2016-11
215,Manhattan,A2,1011145,2016-11-30,32500,40.73352051,-74.00475311,330 Bleecker Street Manhattan,2016-11
216,Manhattan,A2,1046919,2016-11-30,66900,40.78147888,-73.95684052,1070 Park Avenue Manhattan,2016-11
217,Manhattan,A2,1016928,2016-11-30,80000,40.74491882,-73.98536682,102 Madison Avenue Manhattan,2016-11
218,Queens,A2,4026088,2016-11-30,337432,40.75389099,-73.90374756,57-01 Northern Boulevard Queens,2016-11
219,Queens,A1,4254282,2016-11-30,505960,40.67210007,-73.82398987,133-29 115 Street Queens,2016-11
220,Brooklyn,A1,3172744,2016-11-30,1233786,40.61518097,-73.97279358,1419 East 2 Street Brooklyn,2016-11
221,Manhattan,A2,1042391,2016-12-01,850000,40.76628876,-73.96675873,605 Park Avenue Manhattan,2016-12
222,Queens,A2,4051518,2016-12-02,75000,40.73542023,-73.85045624,62-59 108 Street Queens,2016-12
223,Queens,A2,4051521,2016-12-02,90000,40.73567963,-73.84911346,108-49 63 Avenue Queens,2016-12
224,Queens,A2,4051520,2016-12-02,120000,40.73595047,-73.84925842,108-50 62 Drive Queens,2016-12
225,Queens,A2,4080161,2016-12-02,178000,40.71216965,-73.8276825,124-30 Queens Boulevard Queens,2016-12
226,Queens,A2,4171723,2016-12-02,224000,40.75955963,-73.73285675,245-02 Horace Harding Expressway Queens,2016-12
227,Manhattan,A3,1004765,2016-12-05,14500,40.72666168,-73.97979736,155 Avenue B Manhattan,2016-12
228,Manhattan,A2,1005654,2016-12-05,25000,40.7195015,-73.99404144,157 Bowery Manhattan,2016-12
229,Manhattan,A2,1005655,2016-12-05,25000,40.71953964,-73.99403381,157 1/2 Bowery Manhattan,2016-12
230,Brooklyn,A2,3336335,2016-12-05,46000,40.62606049,-74.0303421,8214 3 Avenue Brooklyn,2016-12
231,Manhattan,A2,1014523,2016-12-05,120000,40.73825073,-73.99820709,133 West 14 Street Manhattan,2016-12
232,Brooklyn,A2,3322577,2016-12-05,152000,40.67753983,-73.96961212,218 Prospect Place Brooklyn,2016-12
233,Manhattan,A2,1015137,2016-12-05,702990,40.74805069,-73.99241638,345 7 Avenue Manhattan,2016-12
234,Queens,A1,4124937,2016-12-06,150000,40.75558853,-73.78890228,45-01 192 Street Queens,2016-12
235,Brooklyn,A2,3413890,2016-12-06,180000,40.70042038,-73.99182129,20 Henry Street Brooklyn,2016-12
236,Brooklyn,A1,3036476,2016-12-06,600000,40.67197037,-73.93585968,1287 Sterling Place Brooklyn,2016-12
